group,feature_dropped,anchor_feature,abs_correlation,threshold,method
expression,EXPR_ACSM2B,EXPR_ACSM2A,0.9963118691371043,0.75,full_correlation_matrix
expression,EXPR_FGG,EXPR_FGA,0.9930573811829154,0.75,full_correlation_matrix
expression,EXPR_FGB,EXPR_FGA,0.9897364440292098,0.75,full_correlation_matrix
expression,EXPR_ORM2,EXPR_ORM1,0.9897291083969127,0.75,full_correlation_matrix
expression,EXPR_SERPINC1,EXPR_FHR2,0.9893834151467077,0.75,full_correlation_matrix
expression,EXPR_FHR2,EXPR_BDK,0.9889920381203319,0.75,full_correlation_matrix
expression,EXPR_F2,EXPR_BDK,0.9884801544930032,0.75,full_correlation_matrix
expression,EXPR_PLG,EXPR_BDK,0.9878589686828877,0.75,full_correlation_matrix
expression,EXPR_BDK,EXPR_APOC3,0.9873975721996908,0.75,full_correlation_matrix
expression,EXPR_CTRB2,EXPR_CTRB1,0.9867468225368313,0.75,full_correlation_matrix
expression,EXPR_HY,EXPR_DDX3Y,0.9844487427062214,0.75,full_correlation_matrix
expression,EXPR_UGT2B4,EXPR_F2,0.984012630700319,0.75,full_correlation_matrix
expression,EXPR_C8B,EXPR_C8A,0.983875908568472,0.75,full_correlation_matrix
expression,EXPR_SERPINA6,EXPR_GC,0.9827821232075596,0.75,full_correlation_matrix
expression,EXPR_FGA,EXPR_AMBP,0.9826797158718511,0.75,full_correlation_matrix
expression,EXPR_HFE2,EXPR_FHR2,0.981363351207429,0.75,full_correlation_matrix
expression,EXPR_APOA5,EXPR_ACSM2B,0.9811582676002568,0.75,full_correlation_matrix
expression,EXPR_F13B,EXPR_ACSM2B,0.98035901992246,0.75,full_correlation_matrix
expression,EXPR_HAO1,EXPR_ANGPTL3,0.9802285527660682,0.75,full_correlation_matrix
expression,EXPR_APOC3,EXPR_APOA2,0.9800876445371569,0.75,full_correlation_matrix
expression,EXPR_AFM,EXPR_ACSM2B,0.9800520007799006,0.75,full_correlation_matrix
expression,EXPR_SULT2A1,EXPR_ACSM2B,0.9795486923786695,0.75,full_correlation_matrix
expression,EXPR_C8A,EXPR_ANGPTL3,0.9794579621386801,0.75,full_correlation_matrix
expression,EXPR_APOA2,EXPR_AHSG,0.9792172631368314,0.75,full_correlation_matrix
expression,EXPR_PLA2G12B,EXPR_LOC285733,0.9790269605948748,0.75,full_correlation_matrix
expression,EXPR_MAGEA6,EXPR_MAGEA3,0.9787796164151347,0.75,full_correlation_matrix
expression,EXPR_ITIH1,EXPR_F2,0.978353701506269,0.75,full_correlation_matrix
expression,EXPR_SERPINA10,EXPR_APOH,0.978292814712374,0.75,full_correlation_matrix
expression,EXPR_ANGPTL3,EXPR_ACSM2B,0.9782193640937881,0.75,full_correlation_matrix
expression,EXPR_LINC00261,EXPR_FOXA2,0.9773273788997768,0.75,full_correlation_matrix
expression,EXPR_SAA2,EXPR_SAA1,0.9772556602573241,0.75,full_correlation_matrix
expression,EXPR_HRG,EXPR_BDK,0.9762223286637933,0.75,full_correlation_matrix
expression,EXPR_GC,EXPR_AMBP,0.9754082387596023,0.75,full_correlation_matrix
expression,EXPR_RPS4Y1,EXPR_DDX3Y,0.974675579454968,0.75,full_correlation_matrix
expression,EXPR_SLCO1B1,EXPR_F13B,0.974619142189831,0.75,full_correlation_matrix
expression,EXPR_LOC285733,EXPR_F2,0.9742603037196916,0.75,full_correlation_matrix
expression,EXPR_AMBP,EXPR_ALB,0.9738391265923605,0.75,full_correlation_matrix
expression,EXPR_PNLIP,EXPR_CTRB1,0.9735538525819883,0.75,full_correlation_matrix
expression,EXPR_ORM1,EXPR_C8B,0.9734665427025466,0.75,full_correlation_matrix
expression,EXPR_HPX,EXPR_F2,0.9722843783988391,0.75,full_correlation_matrix
expression,EXPR_G6PC,EXPR_BDK,0.9722460212147892,0.75,full_correlation_matrix
expression,EXPR_UGT2B10,EXPR_ACSM2A,0.972211457412884,0.75,full_correlation_matrix
expression,EXPR_CYP4A11,EXPR_C8A,0.9717429179819232,0.75,full_correlation_matrix
expression,EXPR_TM4SF4,EXPR_MODY1,0.971708145328965,0.75,full_correlation_matrix
expression,EXPR_TYR,EXPR_MLANA,0.9716377940092911,0.75,full_correlation_matrix
expression,EXPR_ADH6,EXPR_A1CF,0.9714586446688914,0.75,full_correlation_matrix
expression,EXPR_APOH,EXPR_AMBP,0.9710536749898343,0.75,full_correlation_matrix
expression,EXPR_SLC2A2,EXPR_ADH1A,0.9708212573789431,0.75,full_correlation_matrix
expression,EXPR_EIF1AY,EXPR_DDX3Y,0.9699821143155931,0.75,full_correlation_matrix
expression,EXPR_AGXT,EXPR_ACSM2B,0.9699623890591772,0.75,full_correlation_matrix
expression,EXPR_CTRB1,EXPR_CELA3A,0.9691784755522069,0.75,full_correlation_matrix
expression,EXPR_SLC22A9,EXPR_PLA2G12B,0.9685041850053928,0.75,full_correlation_matrix
expression,EXPR_AHSG,EXPR_ACSM2B,0.9684886676160325,0.75,full_correlation_matrix
expression,EXPR_SLC17A4,EXPR_F11,0.968310286907768,0.75,full_correlation_matrix
expression,EXPR_F11,EXPR_AMBP,0.9680764745085638,0.75,full_correlation_matrix
expression,EXPR_C4BPB,EXPR_C4BPA,0.9676290334473836,0.75,full_correlation_matrix
expression,EXPR_AGXT2,EXPR_ACSM2B,0.9673460992647585,0.75,full_correlation_matrix
expression,EXPR_PRODH2,EXPR_F2,0.9673180562042868,0.75,full_correlation_matrix
expression,EXPR_SERPIND1,EXPR_F2,0.9671844659158215,0.75,full_correlation_matrix
expression,EXPR_APCS,EXPR_AMBP,0.9665479168502396,0.75,full_correlation_matrix
expression,EXPR_CCL16,EXPR_ACSM2A,0.9665296894850314,0.75,full_correlation_matrix
expression,EXPR_APOB,EXPR_ALB,0.9658727170693808,0.75,full_correlation_matrix
expression,EXPR_F9,EXPR_BDK,0.9654077826414772,0.75,full_correlation_matrix
expression,EXPR_UPB1,EXPR_ACSM2B,0.9651862417606314,0.75,full_correlation_matrix
expression,EXPR_TDD,EXPR_AKR1C1,0.9649387585593123,0.75,full_correlation_matrix
expression,EXPR_UGT1A9,EXPR_UGT1A6,0.9648724288839573,0.75,full_correlation_matrix
expression,EXPR_AKR1C4,EXPR_ADH1A,0.9646937506195996,0.75,full_correlation_matrix
expression,EXPR_MODY1,EXPR_FOXA2,0.9646880428430289,0.75,full_correlation_matrix
expression,EXPR_C4BPA,EXPR_AMBP,0.9641680076429574,0.75,full_correlation_matrix
expression,EXPR_DIO1,EXPR_ACSM2B,0.9641658962558257,0.75,full_correlation_matrix
expression,EXPR_PGLYRP2,EXPR_FHR2,0.9636482951941807,0.75,full_correlation_matrix
expression,EXPR_KRT8,EXPR_KRT18,0.9633680921535299,0.75,full_correlation_matrix
expression,EXPR_APOA1,EXPR_AHSG,0.9631252303673142,0.75,full_correlation_matrix
expression,EXPR_NR1H4,EXPR_AMBP,0.9630094857308357,0.75,full_correlation_matrix
expression,EXPR_VTN,EXPR_ALB,0.9625799071518698,0.75,full_correlation_matrix
expression,EXPR_SLC10A1,EXPR_RTP3,0.9623717414971825,0.75,full_correlation_matrix
expression,EXPR_TM4SF5,EXPR_C4BPB,0.9620080970448761,0.75,full_correlation_matrix
expression,EXPR_HMGCS2,EXPR_A1CF,0.9617573334629596,0.75,full_correlation_matrix
expression,EXPR_LEAP2,EXPR_HPX,0.9612557457867488,0.75,full_correlation_matrix
expression,EXPR_ASGR2,EXPR_ASGR1,0.9609712234161049,0.75,full_correlation_matrix
expression,EXPR_SLC22A7,EXPR_FHR2,0.9602454161407832,0.75,full_correlation_matrix
expression,EXPR_SERPINA11,EXPR_F2,0.9600868704117769,0.75,full_correlation_matrix
expression,EXPR_SLC17A2,EXPR_PLG,0.9593958760830594,0.75,full_correlation_matrix
expression,EXPR_CPA1,EXPR_CELA3A,0.9593195705926669,0.75,full_correlation_matrix
expression,EXPR_ALB,EXPR_ADH1A,0.9591125249148817,0.75,full_correlation_matrix
expression,EXPR_RTP3,EXPR_ACSM2A,0.958805472610909,0.75,full_correlation_matrix
expression,EXPR_PROC,EXPR_ADH6,0.9587491959079533,0.75,full_correlation_matrix
expression,EXPR_PON1,EXPR_C8A,0.9586019928517168,0.75,full_correlation_matrix
expression,EXPR_FABP1,EXPR_APOA1,0.9584675766353423,0.75,full_correlation_matrix
expression,EXPR_ADH1A,EXPR_ACSM2B,0.9584195515862165,0.75,full_correlation_matrix
expression,EXPR_PAH,EXPR_APOH,0.9583942371585443,0.75,full_correlation_matrix
expression,EXPR_CPB2,EXPR_BDK,0.9580732090721606,0.75,full_correlation_matrix
expression,EXPR_DMGDH,EXPR_BHMT2,0.9575175068886242,0.75,full_correlation_matrix
expression,EXPR_CFHR1,EXPR_BDK,0.9572126231583977,0.75,full_correlation_matrix
expression,EXPR_ITIH2,EXPR_ALB,0.9572023503441857,0.75,full_correlation_matrix
expression,EXPR_SERPINA4,EXPR_MODY1,0.9566960482056444,0.75,full_correlation_matrix
expression,EXPR_PLI,EXPR_ASGR2,0.955457136584847,0.75,full_correlation_matrix
expression,EXPR_F7,EXPR_F2,0.9550770920826208,0.75,full_correlation_matrix
expression,EXPR_FGL1,EXPR_FGG,0.9550621929110564,0.75,full_correlation_matrix
expression,EXPR_CPN2,EXPR_ACSM2A,0.9549868065972449,0.75,full_correlation_matrix
expression,EXPR_DPYS,EXPR_ACSM2A,0.9549277978098842,0.75,full_correlation_matrix
expression,EXPR_CREB3L3,EXPR_APOB,0.9544978327742434,0.75,full_correlation_matrix
expression,EXPR_GLYATL1,EXPR_ACSM2A,0.9543960389125473,0.75,full_correlation_matrix
expression,EXPR_AADAC,EXPR_A1CF,0.9541981661741773,0.75,full_correlation_matrix
expression,EXPR_C8G,EXPR_BDK,0.9541106259762003,0.75,full_correlation_matrix
expression,EXPR_PRAP1,EXPR_C4BPB,0.9538056368689551,0.75,full_correlation_matrix
expression,EXPR_DAO,EXPR_ACSM2A,0.9536319917823405,0.75,full_correlation_matrix
expression,EXPR_ALDOB,EXPR_A1CF,0.9536076732669193,0.75,full_correlation_matrix
expression,EXPR_ACSM2A,EXPR_ABCG8,0.9533428203559706,0.75,full_correlation_matrix
expression,EXPR_HGD,EXPR_C4BPB,0.9533231128515532,0.75,full_correlation_matrix
expression,EXPR_HULC,EXPR_FHR2,0.9532681258069707,0.75,full_correlation_matrix
expression,EXPR_SAA4,EXPR_ORM1,0.9531014023194072,0.75,full_correlation_matrix
expression,EXPR_FTCD,EXPR_ANGPTL3,0.9527440206924769,0.75,full_correlation_matrix
expression,EXPR_CFHR5,EXPR_ACSM2A,0.952539395330061,0.75,full_correlation_matrix
expression,EXPR_RBP4,EXPR_C4BPB,0.9521375371720189,0.75,full_correlation_matrix
expression,EXPR_CYP4A22,EXPR_ACSM2A,0.9520446031323576,0.75,full_correlation_matrix
expression,EXPR_UGT2B15,EXPR_SLC17A4,0.9520037557980746,0.75,full_correlation_matrix
expression,EXPR_TAT,EXPR_HAO1,0.9515697289401426,0.75,full_correlation_matrix
expression,EXPR_SPP2,EXPR_AFM,0.9515267044392414,0.75,full_correlation_matrix
expression,EXPR_ABCG8,EXPR_ABCG5,0.9513760013557696,0.75,full_correlation_matrix
expression,EXPR_CYP2C9,EXPR_C4BPB,0.9512388906231442,0.75,full_correlation_matrix
expression,EXPR_C3P1,EXPR_ACSM2A,0.95108554279691,0.75,full_correlation_matrix
expression,EXPR_ADH4,EXPR_ADH1A,0.9510803574995359,0.75,full_correlation_matrix
expression,EXPR_NR0B2,EXPR_A1CF,0.9509937789460304,0.75,full_correlation_matrix
expression,EXPR_APOF,EXPR_ACSM2A,0.9509408295224543,0.75,full_correlation_matrix
expression,EXPR_CFHR4,EXPR_ACSM2A,0.950809930285322,0.75,full_correlation_matrix
expression,EXPR_GLTPD2,EXPR_F2,0.9504518518079984,0.75,full_correlation_matrix
expression,EXPR_UGT1A4,EXPR_UGT1A3,0.9503188084840369,0.75,full_correlation_matrix
expression,EXPR_ITIHL1,EXPR_HPX,0.9498851258928569,0.75,full_correlation_matrix
expression,EXPR_SERPINA7,EXPR_FHR2,0.9495751223704529,0.75,full_correlation_matrix
expression,EXPR_TMPRSS6,EXPR_SERPINA10,0.9490935043340016,0.75,full_correlation_matrix
expression,EXPR_CDHR5,EXPR_C4BPB,0.9490487915313598,0.75,full_correlation_matrix
expression,EXPR_CYP8B1,EXPR_ACSM2A,0.9488795572516974,0.75,full_correlation_matrix
expression,EXPR_INS,EXPR_GCG,0.9488004920246943,0.75,full_correlation_matrix
expression,EXPR_CEACAM6,EXPR_CEACAM5,0.9482858455741895,0.75,full_correlation_matrix
expression,EXPR_FOXA2,EXPR_ANKS4B,0.9481780993045873,0.75,full_correlation_matrix
expression,EXPR_ITIH3,EXPR_C8B,0.9480761991180153,0.75,full_correlation_matrix
expression,EXPR_APOC4,EXPR_ACSM2A,0.9480463429556133,0.75,full_correlation_matrix
expression,EXPR_PXE,EXPR_ITIH2,0.9480277714496957,0.75,full_correlation_matrix
expression,EXPR_CES1P1,EXPR_CES1,0.9478090745163484,0.75,full_correlation_matrix
expression,EXPR_OTC,EXPR_ABCG8,0.9473677783702852,0.75,full_correlation_matrix
expression,EXPR_PLP1,EXPR_GPM6B,0.9472711866281,0.75,full_correlation_matrix
expression,EXPR_ANGPTL8,EXPR_AHSG,0.9469993635970829,0.75,full_correlation_matrix
expression,EXPR_CYP2D6,EXPR_BDK,0.9468911491824069,0.75,full_correlation_matrix
expression,EXPR_GLYAT,EXPR_CYP8B1,0.9467982688596037,0.75,full_correlation_matrix
expression,EXPR_F10,EXPR_A1CF,0.9467374409137581,0.75,full_correlation_matrix
expression,EXPR_PDZK1,EXPR_A1CF,0.9467074793374248,0.75,full_correlation_matrix
expression,EXPR_BHMT,EXPR_ACSM2A,0.9465277451899592,0.75,full_correlation_matrix
expression,EXPR_UGT1A6,EXPR_C4BPB,0.9464455420975418,0.75,full_correlation_matrix
expression,EXPR_GSTA2,EXPR_GSTA1,0.9463769077186228,0.75,full_correlation_matrix
expression,EXPR_CYP4F2,EXPR_ACSM2A,0.9458672293431041,0.75,full_correlation_matrix
expression,EXPR_CCL15,EXPR_A1CF,0.9457651556538424,0.75,full_correlation_matrix
expression,EXPR_HPR,EXPR_HP,0.944779835640936,0.75,full_correlation_matrix
expression,EXPR_ASGR1,EXPR_ACSM2B,0.9439856784403391,0.75,full_correlation_matrix
expression,EXPR_AKR1D1,EXPR_ACSM2A,0.9435256736136511,0.75,full_correlation_matrix
expression,EXPR_KLB,EXPR_APOH,0.9432760232904167,0.75,full_correlation_matrix
expression,EXPR_HEPN1,EXPR_HEPACAM,0.9430701103757403,0.75,full_correlation_matrix
expression,EXPR_ENPP7,EXPR_ACSM2B,0.9429108762381969,0.75,full_correlation_matrix
expression,EXPR_SLC38A4,EXPR_SERPINA10,0.941906186964991,0.75,full_correlation_matrix
expression,EXPR_UGT1A1,EXPR_AADAC,0.941297858912952,0.75,full_correlation_matrix
expression,EXPR_INHBC,EXPR_AFM,0.9410197733314601,0.75,full_correlation_matrix
expression,EXPR_HSD17B5,EXPR_AKR1C1,0.9405540681061623,0.75,full_correlation_matrix
expression,EXPR_LECT2,EXPR_HFE2,0.9403179901117521,0.75,full_correlation_matrix
expression,EXPR_MBL2,EXPR_FHR2,0.9399098596424317,0.75,full_correlation_matrix
expression,EXPR_CYP2A6,EXPR_ACSM2A,0.9397315782344817,0.75,full_correlation_matrix
expression,EXPR_SLC39A5,EXPR_SERPINA4,0.9394013241231854,0.75,full_correlation_matrix
expression,EXPR_MLANA,EXPR_LINC00518,0.9388301457785656,0.75,full_correlation_matrix
expression,EXPR_FETUB,EXPR_ARG1,0.9379293174079382,0.75,full_correlation_matrix
expression,EXPR_GPM6B,EXPR_C4BPB,0.9368495723319934,0.75,full_correlation_matrix
expression,EXPR_DDC,EXPR_ANKS4B,0.9363886917670317,0.75,full_correlation_matrix
expression,EXPR_TMEM184A,EXPR_CBLC,0.9361621855097874,0.75,full_correlation_matrix
expression,EXPR_LRG1,EXPR_C4BPB,0.9354983642105228,0.75,full_correlation_matrix
expression,EXPR_KRTL1,EXPR_KRT6A,0.9350043856191441,0.75,full_correlation_matrix
expression,EXPR_PAQR9,EXPR_ASGR1,0.9342650954871621,0.75,full_correlation_matrix
expression,EXPR_GYS2,EXPR_CYP8B1,0.9340749529728721,0.75,full_correlation_matrix
expression,EXPR_GSTA1,EXPR_C4BPB,0.9338231387893686,0.75,full_correlation_matrix
expression,EXPR_ACMSD,EXPR_A1CF,0.9336715322746556,0.75,full_correlation_matrix
expression,EXPR_SERPINA1,EXPR_C4BPB,0.9335240011141521,0.75,full_correlation_matrix
expression,EXPR_CYP2B,EXPR_ALDOB,0.933514117781612,0.75,full_correlation_matrix
expression,EXPR_CPB1,EXPR_CPA1,0.9331370276262182,0.75,full_correlation_matrix
expression,EXPR_ARG1,EXPR_ACSM2A,0.9327676012824971,0.75,full_correlation_matrix
expression,EXPR_CYP4F3,EXPR_CYP4F12,0.9322355534964706,0.75,full_correlation_matrix
expression,EXPR_KLKB1,EXPR_ITIHL1,0.9317450560042844,0.75,full_correlation_matrix
expression,EXPR_HP,EXPR_ASGR1,0.931455240503373,0.75,full_correlation_matrix
expression,EXPR_ANKS4B,EXPR_ADH6,0.9311857864125553,0.75,full_correlation_matrix
expression,EXPR_RDH16,EXPR_CYP8B1,0.930406113341056,0.75,full_correlation_matrix
expression,EXPR_LBP,EXPR_ASGR2,0.9300767976297732,0.75,full_correlation_matrix
expression,EXPR_GOLT1A,EXPR_C4BPB,0.9299438847055015,0.75,full_correlation_matrix
expression,EXPR_MASP2,EXPR_HPX,0.9298923946365799,0.75,full_correlation_matrix
expression,EXPR_CRP,EXPR_APCS,0.9291849667036299,0.75,full_correlation_matrix
expression,EXPR_TFR2,EXPR_FHR2,0.9291180151301495,0.75,full_correlation_matrix
expression,EXPR_PCK1,EXPR_ALDOB,0.9288549829563362,0.75,full_correlation_matrix
expression,EXPR_CFB,EXPR_C4BPB,0.9284826969778621,0.75,full_correlation_matrix
expression,EXPR_CYP2C8,EXPR_C8A,0.9276801719693185,0.75,full_correlation_matrix
expression,EXPR_S100B,EXPR_PLP1,0.9275515135842819,0.75,full_correlation_matrix
expression,EXPR_CFHR3,EXPR_CFHR1,0.9274239014411287,0.75,full_correlation_matrix
expression,EXPR_ALDH8A1,EXPR_ACSM2A,0.9272722520898645,0.75,full_correlation_matrix
expression,EXPR_IGSF11,EXPR_GPM6B,0.925654188664326,0.75,full_correlation_matrix
expression,EXPR_LIPC,EXPR_APOH,0.9256519229953661,0.75,full_correlation_matrix
expression,EXPR_FGF21,EXPR_ANGPTL8,0.9254602493323724,0.75,full_correlation_matrix
expression,EXPR_PFIC2,EXPR_CYP8B1,0.9252092149378303,0.75,full_correlation_matrix
expression,EXPR_TRIM15,EXPR_LGALS4,0.92488998379468,0.75,full_correlation_matrix
expression,EXPR_HPD,EXPR_HP,0.9247704006418385,0.75,full_correlation_matrix
expression,EXPR_PRSS1,EXPR_PNLIP,0.9244150363709003,0.75,full_correlation_matrix
expression,EXPR_MOGAT3,EXPR_CREB3L3,0.9239989196027137,0.75,full_correlation_matrix
expression,EXPR_NCAN,EXPR_GFAP,0.9238653865552603,0.75,full_correlation_matrix
expression,EXPR_SERPINB5,EXPR_COL17A1,0.9236466467546305,0.75,full_correlation_matrix
expression,EXPR_UGT2A3,EXPR_TM4SF4,0.9232835765953828,0.75,full_correlation_matrix
expression,EXPR_KRT6A,EXPR_KRT14,0.9232590992618871,0.75,full_correlation_matrix
expression,EXPR_HSD17B2,EXPR_CYP2C18,0.9229906526057653,0.75,full_correlation_matrix
expression,EXPR_NAT8,EXPR_F2,0.9225523488603337,0.75,full_correlation_matrix
expression,EXPR_GCKR,EXPR_C4BPB,0.9222374008674792,0.75,full_correlation_matrix
expression,EXPR_CYP3A5,EXPR_ANKS4B,0.9217302833922907,0.75,full_correlation_matrix
expression,EXPR_TMPRSS4,EXPR_CEACAM6,0.9214624445440296,0.75,full_correlation_matrix
expression,EXPR_SLC38A3,EXPR_RGN,0.9213778687976913,0.75,full_correlation_matrix
expression,EXPR_XDH,EXPR_CYP2C18,0.9203869143949489,0.75,full_correlation_matrix
expression,EXPR_TRPM1,EXPR_D12S53E,0.9203235993080268,0.75,full_correlation_matrix
expression,EXPR_SLC22A1,EXPR_HRG,0.9202416372457459,0.75,full_correlation_matrix
expression,EXPR_C6,EXPR_C4BPA,0.9201501963629428,0.75,full_correlation_matrix
expression,EXPR_PIPOX,EXPR_HPR,0.9200916221415636,0.75,full_correlation_matrix
expression,EXPR_GRB7,EXPR_CBLC,0.9198710451056059,0.75,full_correlation_matrix
expression,EXPR_ADH1C,EXPR_AADAC,0.9197354990819766,0.75,full_correlation_matrix
expression,EXPR_ADH1B,EXPR_ADH1A,0.9192159014788331,0.75,full_correlation_matrix
expression,EXPR_UGT1A3,EXPR_UGT1A1,0.9190620245104989,0.75,full_correlation_matrix
expression,EXPR_HABP2,EXPR_GC,0.9189019135078387,0.75,full_correlation_matrix
expression,EXPR_RGN,EXPR_PIPOX,0.9186461319271682,0.75,full_correlation_matrix
expression,EXPR_HNF1B,EXPR_CCDC198,0.9179649627745542,0.75,full_correlation_matrix
expression,EXPR_HSD17B6,EXPR_HPR,0.917013208661967,0.75,full_correlation_matrix
expression,EXPR_INHBE,EXPR_ANGPTL8,0.9165719088428639,0.75,full_correlation_matrix
expression,EXPR_SLC27A2,EXPR_C4BPB,0.9156399533022451,0.75,full_correlation_matrix
