alpha,l1_ratio,n_valid_folds,n_failed_folds,mean_c_index,std_c_index,fold_scores,failure_notes
3.0,0.7,5,0,0.7188781973126945,0.0415055492514301,"0.6384, 0.7425, 0.7198, 0.7500, 0.7436",
3.0,0.5,5,0,0.7184182183251798,0.04164886949615905,"0.6377, 0.7413, 0.7194, 0.7502, 0.7434",
3.0,0.3,5,0,0.7173904091413978,0.04177746752434573,"0.6365, 0.7403, 0.7187, 0.7505, 0.7410",
1.5,0.7,5,0,0.7171930824725357,0.041447943239939264,"0.6370, 0.7384, 0.7184, 0.7506, 0.7416",
1.5,0.5,5,0,0.7169332558359143,0.041745943889457675,"0.6361, 0.7385, 0.7185, 0.7509, 0.7406",
1.5,0.3,5,0,0.7166815170412896,0.04197876088386913,"0.6354, 0.7391, 0.7185, 0.7513, 0.7391",
0.8,0.3,5,0,0.7164605389477587,0.04213059105058039,"0.6350, 0.7368, 0.7187, 0.7529, 0.7389",
3.0,0.1,5,0,0.7163426864828475,0.0418463957635283,"0.6353, 0.7382, 0.7182, 0.7507, 0.7393",
0.1,0.7,5,0,0.7162957886175538,0.04267550860760133,"0.6341, 0.7350, 0.7187, 0.7547, 0.7390",
0.8,0.5,5,0,0.7162565590460612,0.04201622821281964,"0.6349, 0.7365, 0.7191, 0.7519, 0.7389",
0.1,0.5,5,0,0.7162401515698997,0.042789757530082705,"0.6338, 0.7351, 0.7187, 0.7549, 0.7387",
0.1,0.3,5,0,0.7161701131517013,0.042801077399601546,"0.6337, 0.7349, 0.7187, 0.7549, 0.7387",
1.5,0.1,5,0,0.7161521802623619,0.04204969366114073,"0.6350, 0.7363, 0.7182, 0.7526, 0.7388",
0.8,0.7,5,0,0.7161511477385764,0.04178693819897318,"0.6353, 0.7371, 0.7182, 0.7514, 0.7388",
0.3,0.3,5,0,0.7161493927810335,0.042715822873558844,"0.6337, 0.7350, 0.7189, 0.7541, 0.7391",
0.3,0.5,5,0,0.7161046884485401,0.04245263626413204,"0.6342, 0.7350, 0.7189, 0.7538, 0.7387",
0.1,0.1,5,0,0.7160798345627984,0.042843788789391525,"0.6335, 0.7348, 0.7186, 0.7548, 0.7387",
0.3,0.7,5,0,0.7160466070574667,0.04243539946933035,"0.6341, 0.7350, 0.7190, 0.7536, 0.7386",
0.1,0.0,5,0,0.7160437104505839,0.042876979726120173,"0.6334, 0.7348, 0.7185, 0.7548, 0.7387",
0.3,0.0,5,0,0.7160255049970419,0.042711412530684896,"0.6337, 0.7345, 0.7186, 0.7545, 0.7388",
0.3,0.1,5,0,0.7160043404019152,0.04275322114573976,"0.6335, 0.7347, 0.7188, 0.7543, 0.7387",
0.8,0.1,5,0,0.7159032892587716,0.04235746944207837,"0.6342, 0.7347, 0.7185, 0.7535, 0.7387",
3.0,0.0,5,0,0.7158982751690111,0.04182260959105382,"0.6350, 0.7366, 0.7180, 0.7517, 0.7382",
0.8,0.0,5,0,0.7158612105367379,0.04262490666290809,"0.6336, 0.7343, 0.7186, 0.7538, 0.7390",
1.5,0.0,5,0,0.7158433134541922,0.04230540592350855,"0.6342, 0.7350, 0.7183, 0.7530, 0.7388",
