group,feature_dropped,anchor_feature,abs_correlation,threshold,method
expression,EXPR_ACSM2B,EXPR_ACSM2A,0.995793923544818,0.9,full_correlation_matrix
expression,EXPR_FGG,EXPR_FGA,0.9921588171689856,0.9,full_correlation_matrix
expression,EXPR_CTRB2,EXPR_CTRB1,0.989367087211993,0.9,full_correlation_matrix
expression,EXPR_F2,EXPR_BDK,0.9892355644258544,0.9,full_correlation_matrix
expression,EXPR_SERPINC1,EXPR_FHR2,0.988818016705499,0.9,full_correlation_matrix
expression,EXPR_FGB,EXPR_FGA,0.98825521949535,0.9,full_correlation_matrix
expression,EXPR_HY,EXPR_DDX3Y,0.988084573593635,0.9,full_correlation_matrix
expression,EXPR_ORM2,EXPR_ORM1,0.9875096290829273,0.9,full_correlation_matrix
expression,EXPR_FHR2,EXPR_F2,0.9861760039610726,0.9,full_correlation_matrix
expression,EXPR_PLG,EXPR_F2,0.9845153006889465,0.9,full_correlation_matrix
expression,EXPR_BDK,EXPR_APOA2,0.9844041899008236,0.9,full_correlation_matrix
expression,EXPR_C8B,EXPR_C8A,0.9839757763025686,0.9,full_correlation_matrix
expression,EXPR_FGA,EXPR_AMBP,0.9825578126031522,0.9,full_correlation_matrix
expression,EXPR_HFE2,EXPR_FHR2,0.9823305064719239,0.9,full_correlation_matrix
expression,EXPR_SERPINA6,EXPR_GC,0.9821153338383594,0.9,full_correlation_matrix
expression,EXPR_UGT2B4,EXPR_F2,0.9818219694517523,0.9,full_correlation_matrix
expression,EXPR_MAGEA6,EXPR_MAGEA3,0.9818021542929843,0.9,full_correlation_matrix
expression,EXPR_SERPINA10,EXPR_APOH,0.9813646321353879,0.9,full_correlation_matrix
expression,EXPR_SULT2A1,EXPR_FHR2,0.9810560343742919,0.9,full_correlation_matrix
expression,EXPR_ITIH1,EXPR_F2,0.9801725148740795,0.9,full_correlation_matrix
expression,EXPR_APOC3,EXPR_APOA1,0.9796968408746051,0.9,full_correlation_matrix
expression,EXPR_PLA2G12B,EXPR_LOC285733,0.9794729628728209,0.9,full_correlation_matrix
expression,EXPR_APOA5,EXPR_ACSM2B,0.9785677532932311,0.9,full_correlation_matrix
expression,EXPR_F13B,EXPR_ACSM2B,0.9784778577662304,0.9,full_correlation_matrix
expression,EXPR_HRG,EXPR_BDK,0.9783382958171343,0.9,full_correlation_matrix
expression,EXPR_APOA2,EXPR_AHSG,0.9774809094207387,0.9,full_correlation_matrix
expression,EXPR_GC,EXPR_AMBP,0.9772203198657565,0.9,full_correlation_matrix
expression,EXPR_AFM,EXPR_ACSM2A,0.9771428142482247,0.9,full_correlation_matrix
expression,EXPR_CTRB1,EXPR_CELA3A,0.9763663092113859,0.9,full_correlation_matrix
expression,EXPR_ANGPTL3,EXPR_ACSM2B,0.9761660547921679,0.9,full_correlation_matrix
expression,EXPR_C8A,EXPR_ANGPTL3,0.9761468890994119,0.9,full_correlation_matrix
expression,EXPR_SAA2,EXPR_SAA1,0.9758786799367627,0.9,full_correlation_matrix
expression,EXPR_HAO1,EXPR_ANGPTL3,0.9758448851869624,0.9,full_correlation_matrix
expression,EXPR_EIF1AY,EXPR_DDX3Y,0.9757572159223242,0.9,full_correlation_matrix
expression,EXPR_LOC285733,EXPR_F2,0.9749003168599625,0.9,full_correlation_matrix
expression,EXPR_LINC00261,EXPR_FOXA2,0.97367486521284,0.9,full_correlation_matrix
expression,EXPR_RPS4Y1,EXPR_DDX3Y,0.97352023155664,0.9,full_correlation_matrix
expression,EXPR_TYR,EXPR_MLANA,0.9729772270611586,0.9,full_correlation_matrix
expression,EXPR_UGT2B10,EXPR_ACSM2A,0.9728523632609581,0.9,full_correlation_matrix
expression,EXPR_HPX,EXPR_F2,0.9728128230723773,0.9,full_correlation_matrix
expression,EXPR_PNLIP,EXPR_CTRB1,0.9727864414782053,0.9,full_correlation_matrix
expression,EXPR_PRODH2,EXPR_F2,0.9727627194156646,0.9,full_correlation_matrix
expression,EXPR_ORM1,EXPR_ALB,0.9723528072096695,0.9,full_correlation_matrix
expression,EXPR_MODY1,EXPR_ANKS4B,0.9708290710933466,0.9,full_correlation_matrix
expression,EXPR_CCL16,EXPR_ACSM2A,0.9702398231814081,0.9,full_correlation_matrix
expression,EXPR_SLCO1B1,EXPR_BDK,0.9697020688949135,0.9,full_correlation_matrix
expression,EXPR_SLC22A9,EXPR_PLA2G12B,0.9695438751259827,0.9,full_correlation_matrix
expression,EXPR_AGXT,EXPR_ACSM2B,0.9694464908971113,0.9,full_correlation_matrix
expression,EXPR_C4BPB,EXPR_C4BPA,0.9694378338536835,0.9,full_correlation_matrix
expression,EXPR_APOH,EXPR_AMBP,0.9687242018478445,0.9,full_correlation_matrix
expression,EXPR_HULC,EXPR_FHR2,0.9685530095073356,0.9,full_correlation_matrix
expression,EXPR_TDD,EXPR_AKR1C1,0.9683485395983091,0.9,full_correlation_matrix
expression,EXPR_TM4SF4,EXPR_MODY1,0.9681770444016741,0.9,full_correlation_matrix
expression,EXPR_SLC2A2,EXPR_ADH1A,0.9679924621185777,0.9,full_correlation_matrix
expression,EXPR_G6PC,EXPR_CYP4A11,0.9679184406955981,0.9,full_correlation_matrix
expression,EXPR_AGXT2,EXPR_ACSM2A,0.9674956729963339,0.9,full_correlation_matrix
expression,EXPR_KRT8,EXPR_KRT18,0.9673339660572468,0.9,full_correlation_matrix
expression,EXPR_AMBP,EXPR_ALB,0.967257651200475,0.9,full_correlation_matrix
expression,EXPR_SLC17A4,EXPR_F11,0.9668369475415923,0.9,full_correlation_matrix
expression,EXPR_AHSG,EXPR_ACSM2B,0.9664211133861447,0.9,full_correlation_matrix
expression,EXPR_CYP4A11,EXPR_C8A,0.966089837620998,0.9,full_correlation_matrix
expression,EXPR_SERPIND1,EXPR_F2,0.9660332729126471,0.9,full_correlation_matrix
expression,EXPR_ADH6,EXPR_A1CF,0.9659348442507721,0.9,full_correlation_matrix
expression,EXPR_F11,EXPR_AMBP,0.9658043899631064,0.9,full_correlation_matrix
expression,EXPR_CPA1,EXPR_CELA3A,0.9657721305975767,0.9,full_correlation_matrix
expression,EXPR_SLC22A7,EXPR_AFM,0.9656897874890799,0.9,full_correlation_matrix
expression,EXPR_F9,EXPR_ACSM2A,0.9655308569574217,0.9,full_correlation_matrix
expression,EXPR_C4BPA,EXPR_AMBP,0.9655040197466829,0.9,full_correlation_matrix
expression,EXPR_NR1H4,EXPR_AMBP,0.9654799113789826,0.9,full_correlation_matrix
expression,EXPR_APCS,EXPR_AMBP,0.964414551137907,0.9,full_correlation_matrix
expression,EXPR_UGT1A9,EXPR_UGT1A6,0.9643580663860787,0.9,full_correlation_matrix
expression,EXPR_HMGCS2,EXPR_A1CF,0.9641787392858996,0.9,full_correlation_matrix
expression,EXPR_ASGR2,EXPR_ASGR1,0.9639352638781036,0.9,full_correlation_matrix
expression,EXPR_APOB,EXPR_ALB,0.9637607002981179,0.9,full_correlation_matrix
expression,EXPR_VTN,EXPR_FGB,0.9634712100056377,0.9,full_correlation_matrix
expression,EXPR_CPB2,EXPR_BDK,0.963259357849368,0.9,full_correlation_matrix
expression,EXPR_PGLYRP2,EXPR_HRG,0.9628569586890404,0.9,full_correlation_matrix
expression,EXPR_AKR1C4,EXPR_ADH1A,0.9621091020563739,0.9,full_correlation_matrix
expression,EXPR_TM4SF5,EXPR_C4BPB,0.9620362483271309,0.9,full_correlation_matrix
expression,EXPR_SLC17A2,EXPR_F2,0.9616378011055201,0.9,full_correlation_matrix
expression,EXPR_APOA1,EXPR_AHSG,0.9613186575176771,0.9,full_correlation_matrix
expression,EXPR_DIO1,EXPR_ACSM2B,0.9612708710543674,0.9,full_correlation_matrix
expression,EXPR_FABP1,EXPR_APOA1,0.9612489588966044,0.9,full_correlation_matrix
expression,EXPR_PLI,EXPR_ITIH1,0.961236218541293,0.9,full_correlation_matrix
expression,EXPR_SERPINA4,EXPR_MODY1,0.9610830414845078,0.9,full_correlation_matrix
expression,EXPR_SERPINA11,EXPR_F2,0.960994734912503,0.9,full_correlation_matrix
expression,EXPR_SLC10A1,EXPR_RTP3,0.9607204408933677,0.9,full_correlation_matrix
expression,EXPR_UPB1,EXPR_ACSM2B,0.959997701463001,0.9,full_correlation_matrix
expression,EXPR_SERPINA7,EXPR_FHR2,0.9597005891457516,0.9,full_correlation_matrix
expression,EXPR_DPYS,EXPR_ACSM2A,0.959472006775861,0.9,full_correlation_matrix
expression,EXPR_RTP3,EXPR_ACSM2A,0.9592028388132156,0.9,full_correlation_matrix
expression,EXPR_PAH,EXPR_APOH,0.958000621503706,0.9,full_correlation_matrix
expression,EXPR_LEAP2,EXPR_HPX,0.9575219523948647,0.9,full_correlation_matrix
expression,EXPR_UGT1A4,EXPR_UGT1A3,0.9574096236523422,0.9,full_correlation_matrix
expression,EXPR_C3P1,EXPR_ACSM2A,0.9565106406542666,0.9,full_correlation_matrix
expression,EXPR_RBP4,EXPR_APOH,0.9563706799688082,0.9,full_correlation_matrix
expression,EXPR_ALB,EXPR_ADH1A,0.9563252058675837,0.9,full_correlation_matrix
expression,EXPR_ITIH2,EXPR_ALB,0.9562423896460098,0.9,full_correlation_matrix
expression,EXPR_ALDOB,EXPR_A1CF,0.9560225874278104,0.9,full_correlation_matrix
expression,EXPR_GLTPD2,EXPR_F2,0.9557077152981871,0.9,full_correlation_matrix
expression,EXPR_CFHR1,EXPR_BDK,0.9556142588748708,0.9,full_correlation_matrix
expression,EXPR_CPN2,EXPR_ACSM2A,0.955591634580477,0.9,full_correlation_matrix
expression,EXPR_GLYATL1,EXPR_C8A,0.955486134544126,0.9,full_correlation_matrix
expression,EXPR_PON1,EXPR_F2,0.9553757431991055,0.9,full_correlation_matrix
expression,EXPR_CYP8B1,EXPR_ACSM2A,0.9547842929845508,0.9,full_correlation_matrix
expression,EXPR_ADH1A,EXPR_ACSM2B,0.9547674142381747,0.9,full_correlation_matrix
expression,EXPR_DMGDH,EXPR_BHMT2,0.9546701017913111,0.9,full_correlation_matrix
expression,EXPR_PROC,EXPR_APOH,0.9546695950434245,0.9,full_correlation_matrix
expression,EXPR_FGL1,EXPR_FGG,0.9542379882346955,0.9,full_correlation_matrix
expression,EXPR_PLP1,EXPR_GPM6B,0.9538915921413218,0.9,full_correlation_matrix
expression,EXPR_ACSM2A,EXPR_ABCG8,0.9536317773159205,0.9,full_correlation_matrix
expression,EXPR_TMPRSS6,EXPR_APOH,0.9536055103951363,0.9,full_correlation_matrix
expression,EXPR_F7,EXPR_F2,0.9534572708751222,0.9,full_correlation_matrix
expression,EXPR_CFHR4,EXPR_ACSM2A,0.9533695948884298,0.9,full_correlation_matrix
expression,EXPR_C8G,EXPR_BDK,0.952901492789822,0.9,full_correlation_matrix
expression,EXPR_HGD,EXPR_C4BPB,0.9527126206288311,0.9,full_correlation_matrix
expression,EXPR_GLYAT,EXPR_CYP8B1,0.952573096619355,0.9,full_correlation_matrix
expression,EXPR_APOF,EXPR_AGXT2,0.9525365692872909,0.9,full_correlation_matrix
expression,EXPR_SAA4,EXPR_ORM1,0.9522320991868221,0.9,full_correlation_matrix
expression,EXPR_CYP2C9,EXPR_ADH6,0.9518593445309602,0.9,full_correlation_matrix
expression,EXPR_APOC4,EXPR_ACSM2A,0.9517782907407689,0.9,full_correlation_matrix
expression,EXPR_AADAC,EXPR_A1CF,0.9516618164441865,0.9,full_correlation_matrix
expression,EXPR_PRAP1,EXPR_C4BPB,0.9515474318616617,0.9,full_correlation_matrix
expression,EXPR_SPP2,EXPR_CYP4A22,0.9512235743017892,0.9,full_correlation_matrix
expression,EXPR_ABCG8,EXPR_ABCG5,0.9511993441893385,0.9,full_correlation_matrix
expression,EXPR_DAO,EXPR_ACSM2A,0.9511530837900882,0.9,full_correlation_matrix
expression,EXPR_BHMT,EXPR_ACSM2A,0.9510899056060221,0.9,full_correlation_matrix
expression,EXPR_INS,EXPR_GCG,0.9508395158046876,0.9,full_correlation_matrix
expression,EXPR_CREB3L3,EXPR_APOB,0.9505242306184271,0.9,full_correlation_matrix
expression,EXPR_CFHR5,EXPR_ACSM2B,0.9504674485301025,0.9,full_correlation_matrix
