alpha,l1_ratio,n_valid_folds,n_failed_folds,mean_c_index,std_c_index,fold_scores,failure_notes
3.0,0.7,5,0,0.7187028715197359,0.04026953116391697,"0.6418, 0.7406, 0.7156, 0.7499, 0.7456",
3.0,0.5,5,0,0.7182290734610087,0.040351969059465594,"0.6411, 0.7399, 0.7155, 0.7501, 0.7445",
3.0,0.3,5,0,0.7174046835654522,0.040744930476565515,"0.6392, 0.7390, 0.7157, 0.7490, 0.7441",
1.5,0.7,5,0,0.7173445198273549,0.04075934185043417,"0.6392, 0.7394, 0.7152, 0.7489, 0.7440",
1.5,0.5,5,0,0.7165954300628072,0.040916819962405857,"0.6382, 0.7377, 0.7145, 0.7491, 0.7435",
3.0,0.1,5,0,0.7164591186627745,0.04073180122505433,"0.6382, 0.7370, 0.7153, 0.7488, 0.7430",
0.8,0.7,5,0,0.7160901464516936,0.040864302992541644,"0.6378, 0.7355, 0.7146, 0.7488, 0.7438",
1.5,0.3,5,0,0.7158427309928831,0.04076955131888057,"0.6377, 0.7356, 0.7144, 0.7486, 0.7429",
3.0,0.0,5,0,0.7157854996684623,0.04074548016576187,"0.6376, 0.7355, 0.7147, 0.7487, 0.7425",
0.8,0.5,5,0,0.7155232650006775,0.04065251496171562,"0.6376, 0.7343, 0.7144, 0.7487, 0.7426",
1.5,0.1,5,0,0.7153712490517707,0.040924681040951115,"0.6370, 0.7344, 0.7140, 0.7489, 0.7426",
0.3,0.7,5,0,0.7151334773243314,0.04078953138949497,"0.6371, 0.7327, 0.7142, 0.7494, 0.7423",
1.5,0.0,5,0,0.7151025562702987,0.04093341233548213,"0.6368, 0.7337, 0.7137, 0.7493, 0.7420",
0.8,0.3,5,0,0.7150932993580295,0.04092646882527444,"0.6368, 0.7331, 0.7139, 0.7495, 0.7422",
0.3,0.5,5,0,0.715056966661894,0.04089263855067095,"0.6369, 0.7324, 0.7139, 0.7498, 0.7423",
0.8,0.1,5,0,0.7150056916661558,0.04070981692566828,"0.6371, 0.7330, 0.7140, 0.7492, 0.7418",
0.3,0.3,5,0,0.7147189156807535,0.04089803014982094,"0.6366, 0.7321, 0.7135, 0.7495, 0.7420",
0.8,0.0,5,0,0.7146715924469309,0.04089971861032433,"0.6364, 0.7327, 0.7134, 0.7491, 0.7417",
0.1,0.7,5,0,0.7146347738968218,0.04081587583493769,"0.6367, 0.7320, 0.7132, 0.7495, 0.7418",
0.3,0.1,5,0,0.7145547675268407,0.040932225976139665,"0.6364, 0.7320, 0.7130, 0.7495, 0.7419",
0.1,0.5,5,0,0.714521173738821,0.04056092948547768,"0.6371, 0.7311, 0.7132, 0.7495, 0.7417",
0.3,0.0,5,0,0.7144590635143591,0.040828586273423374,"0.6366, 0.7320, 0.7128, 0.7494, 0.7416",
0.1,0.3,5,0,0.7143226977291744,0.040812351722936534,"0.6364, 0.7311, 0.7130, 0.7494, 0.7416",
0.1,0.0,5,0,0.7142557549170798,0.0408666770510142,"0.6363, 0.7314, 0.7126, 0.7495, 0.7415",
0.1,0.1,5,0,0.7142286196850933,0.040792994631446436,"0.6364, 0.7312, 0.7127, 0.7493, 0.7415",
