column,dtype,rows,unusable_count,unusable_frac,valid_count,nunique_valid,mode_freq_valid,protected,drop_candidate_min_effect
HISTORY_HEPATO_CARCINOMA_RISK_FACTORS,str,1628,1270,0.7800982800982801,358,22,0.25977653631284914,False,True
PERFORMANCE_STATUS_TIMING,str,1628,1258,0.7727272727272727,370,4,0.36486486486486486,False,True
DEFINITIVE_SURGICAL_PROCEDURE,str,1628,1254,0.7702702702702703,374,6,0.3877005347593583,False,True
PRIMARY_MULTIPLE_AT_DX,str,1628,1231,0.7561425061425061,397,2,0.9697732997481109,False,True
PRIMARY_MELANOMA_SKIN_TYPE,str,1628,1193,0.7328009828009828,435,1,1.0,False,True
FAMILY_HISTORY_OF_CANCER,str,1628,1189,0.7303439803439803,439,2,0.5899772209567198,False,True
SUBMITTED_TUMOR_DX_DAYS_TO,str,1628,1164,0.714987714987715,464,299,0.2521551724137931,False,True
TUMOR_SITE,str,1628,1163,0.7143734643734644,465,11,0.4150537634408602,False,True
PRIMARY_MELANOMA_KNOWN_DX,str,1628,1158,0.7113022113022113,470,2,0.9,False,True
HISTORY_LGG_DX_OF_BRAIN_TISSUE,str,1628,1032,0.6339066339066339,596,2,0.9748322147651006,False,True
PHARMACEUTICAL_TX_ADJUVANT,str,1628,941,0.578009828009828,687,2,0.8151382823871907,False,True
RESIDUAL_TUMOR,str,1628,1085,0.6664619164619164,543,4,0.8121546961325967,False,False
GRADE,str,1628,1071,0.6578624078624079,557,5,0.49730700179533216,False,False
METHOD_OF_INITIAL_SAMPLE_PROCUREMENT,str,1628,856,0.5257985257985258,772,7,0.8147668393782384,False,False
RADIATION_TREATMENT_ADJUVANT,str,1628,754,0.4631449631449631,874,3,0.9084668192219679,False,False
NEW_TUMOR_EVENT_AFTER_INITIAL_TREATMENT,str,1628,728,0.44717444717444715,900,4,0.5455555555555556,False,False
AJCC_PATHOLOGIC_TUMOR_STAGE,str,1628,657,0.4035626535626536,971,17,0.2121524201853759,False,False
AJCC_TUMOR_PATHOLOGIC_PT,str,1628,626,0.3845208845208845,1002,16,0.20658682634730538,False,False
AJCC_METASTASIS_PATHOLOGIC_PM,str,1628,624,0.3832923832923833,1004,6,0.7719123505976095,False,False
AJCC_NODES_PATHOLOGIC_PN,str,1628,619,0.38022113022113024,1009,10,0.5371655104063429,False,False
AJCC_STAGING_EDITION,str,1628,611,0.3753071253071253,1017,7,0.6086529006882989,False,False
RETROSPECTIVE_COLLECTION,str,1628,565,0.34705159705159705,1063,3,0.587958607714017,False,False
PROSPECTIVE_COLLECTION,str,1628,565,0.34705159705159705,1063,3,0.5870178739416745,False,False
HISTORY_OTHER_MALIGNANCY,str,1628,564,0.3464373464373464,1064,3,0.9257518796992481,False,False
SITE_OF_TUMOR_TISSUE,str,1628,470,0.28869778869778867,1158,3,0.5146804835924007,False,False
HISTOLOGICAL_DIAGNOSIS,str,1628,470,0.28869778869778867,1158,11,0.47063903281519864,False,False
EXPR_INS,float64,1628,463,0.2843980343980344,1165,204,0.8257510729613734,False,False
EXPR_PNLIP,float64,1628,463,0.2843980343980344,1165,217,0.8145922746781116,False,False
EXPR_CELA3A,float64,1628,463,0.2843980343980344,1165,262,0.7759656652360515,False,False
EXPR_CTRB1,float64,1628,463,0.2843980343980344,1165,273,0.7648068669527897,False,False
EXPR_REG1B,float64,1628,463,0.2843980343980344,1165,302,0.7399141630901288,False,False
EXPR_GCG,float64,1628,463,0.2843980343980344,1165,306,0.7381974248927039,False,False
EXPR_PRSS1,float64,1628,463,0.2843980343980344,1165,352,0.6978540772532189,False,False
EXPR_TFF1,float64,1628,463,0.2843980343980344,1165,407,0.6489270386266094,False,False
EXPR_CYP4A22,float64,1628,463,0.2843980343980344,1165,418,0.6420600858369099,False,False
EXPR_SPP2,float64,1628,463,0.2843980343980344,1165,423,0.6377682403433477,False,False
EXPR_F9,float64,1628,463,0.2843980343980344,1165,437,0.6257510729613734,False,False
EXPR_SLC17A2,float64,1628,463,0.2843980343980344,1165,447,0.6171673819742489,False,False
EXPR_FHR2,float64,1628,463,0.2843980343980344,1165,449,0.6145922746781116,False,False
EXPR_UGT1A4,float64,1628,463,0.2843980343980344,1165,457,0.6085836909871245,False,False
EXPR_REG3A,float64,1628,463,0.2843980343980344,1165,461,0.6051502145922747,False,False
EXPR_LECT2,float64,1628,463,0.2843980343980344,1165,464,0.6017167381974249,False,False
EXPR_CFHR5,float64,1628,463,0.2843980343980344,1165,475,0.5931330472103005,False,False
EXPR_UGT1A3,float64,1628,463,0.2843980343980344,1165,474,0.5931330472103005,False,False
EXPR_AGXT2,float64,1628,463,0.2843980343980344,1165,474,0.592274678111588,False,False
