alpha,l1_ratio,n_valid_folds,n_failed_folds,mean_c_index,std_c_index,fold_scores,failure_notes
3.0,0.7,5,0,0.7216535655071643,0.020777621587496763,"0.6983, 0.7413, 0.7062, 0.7112, 0.7513",
3.0,0.5,5,0,0.7212487786056764,0.02016973647916274,"0.6990, 0.7402, 0.7062, 0.7106, 0.7503",
1.5,0.7,5,0,0.7209485419500832,0.01985672377191678,"0.6989, 0.7398, 0.7063, 0.7105, 0.7493",
3.0,0.3,5,0,0.7208619038933064,0.020320364782672323,"0.6978, 0.7403, 0.7053, 0.7113, 0.7496",
1.5,0.5,5,0,0.720839933799162,0.01986795286596845,"0.6985, 0.7403, 0.7056, 0.7112, 0.7486",
0.8,0.7,5,0,0.7204119976536244,0.019808035790871585,"0.6982, 0.7401, 0.7046, 0.7113, 0.7478",
1.5,0.3,5,0,0.7202083607622416,0.019783074244666854,"0.6983, 0.7399, 0.7046, 0.7106, 0.7476",
0.8,0.3,5,0,0.7201021824386021,0.019989186144592965,"0.6976, 0.7404, 0.7038, 0.7113, 0.7473",
0.3,0.7,5,0,0.7200965281708396,0.020035030346552265,"0.6980, 0.7408, 0.7030, 0.7116, 0.7470",
3.0,0.1,5,0,0.7200746815481655,0.02036520726819047,"0.6973, 0.7397, 0.7034, 0.7113, 0.7486",
0.8,0.5,5,0,0.7200567706265975,0.01995872395470073,"0.6975, 0.7403, 0.7042, 0.7111, 0.7473",
0.3,0.5,5,0,0.7198680318111477,0.019964212945696662,"0.6981, 0.7403, 0.7025, 0.7115, 0.7469",
3.0,0.0,5,0,0.7198131402124499,0.01999099675570689,"0.6969, 0.7391, 0.7036, 0.7118, 0.7476",
0.3,0.3,5,0,0.7197661139894451,0.020009045965363122,"0.6978, 0.7405, 0.7024, 0.7115, 0.7466",
1.5,0.1,5,0,0.7197161745741117,0.01993809413449967,"0.6975, 0.7399, 0.7037, 0.7106, 0.7470",
0.8,0.1,5,0,0.7196978830415615,0.020073122547594857,"0.6968, 0.7403, 0.7031, 0.7116, 0.7467",
0.3,0.1,5,0,0.7196680770087485,0.020065974835839367,"0.6973, 0.7405, 0.7023, 0.7117, 0.7464",
0.3,0.0,5,0,0.719602946319316,0.02011875802842143,"0.6971, 0.7405, 0.7024, 0.7116, 0.7464",
0.8,0.0,5,0,0.7195939863029839,0.02020105528826141,"0.6967, 0.7402, 0.7027, 0.7115, 0.7469",
0.1,0.1,5,0,0.7195172192777248,0.020140506740587615,"0.6971, 0.7403, 0.7023, 0.7113, 0.7465",
0.1,0.5,5,0,0.7194824331863537,0.020054210458943674,"0.6972, 0.7403, 0.7023, 0.7113, 0.7463",
0.1,0.3,5,0,0.7194505709674612,0.02004718192829434,"0.6971, 0.7403, 0.7023, 0.7112, 0.7463",
0.1,0.0,5,0,0.7194316931294723,0.020187363716320662,"0.6971, 0.7403, 0.7020, 0.7113, 0.7465",
0.1,0.7,5,0,0.7193988205374123,0.01997678836339508,"0.6973, 0.7401, 0.7023, 0.7112, 0.7462",
1.5,0.0,5,0,0.7193590845592983,0.020050389408968354,"0.6970, 0.7397, 0.7029, 0.7106, 0.7467",
