feature_name,group,coefficient,abs_coefficient,direction
cat__CANCER_TYPE_GBM,clinical,0.7719928722860876,0.7719928722860876,risk_increasing
cat__CANCER_TYPE_SKCM,clinical,-0.3215256639791682,0.3215256639791682,risk_decreasing
EXPR_PC01,expression,0.30442993123105166,0.30442993123105166,risk_increasing
num__AGE,clinical,0.2933962334472087,0.2933962334472087,risk_increasing
EXPR_PC02,expression,-0.20759115807334066,0.20759115807334066,risk_decreasing
EXPR_PC04,expression,-0.17136602080637148,0.17136602080637148,risk_decreasing
EXPR_PC08,expression,0.15243885839851457,0.15243885839851457,risk_increasing
cat__AGE_GROUP_>75,clinical,0.14950522586707743,0.14950522586707743,risk_increasing
cat__CANCER_TYPE_PAAD,clinical,-0.12031431906156836,0.12031431906156836,risk_decreasing
EXPR_PC33,expression,0.11928535787832088,0.11928535787832088,risk_increasing
cat__RACE_Unknown,clinical,0.11538956718775209,0.11538956718775209,risk_increasing
EXPR_PC38,expression,-0.1113360061051365,0.1113360061051365,risk_decreasing
EXPR_PC20,expression,0.10080004338970977,0.10080004338970977,risk_increasing
EXPR_PC26,expression,0.10067697639242988,0.10067697639242988,risk_increasing
EXPR_PC18,expression,0.0991084404746369,0.0991084404746369,risk_increasing
EXPR_PC32,expression,-0.09807973678322089,0.09807973678322089,risk_decreasing
cat__ETHNICITY_Unknown,clinical,0.08710497829986716,0.08710497829986716,risk_increasing
EXPR_PC30,expression,0.08134072368775272,0.08134072368775272,risk_increasing
EXPR_PC25,expression,-0.07381039430918009,0.07381039430918009,risk_decreasing
EXPR_PC10,expression,0.07279584440652634,0.07279584440652634,risk_increasing
EXPR_PC47,expression,0.07224213809624275,0.07224213809624275,risk_increasing
EXPR_PC11,expression,-0.06685325261493431,0.06685325261493431,risk_decreasing
EXPR_PC16,expression,-0.06596759190930776,0.06596759190930776,risk_decreasing
EXPR_PC19,expression,-0.0622155535709688,0.0622155535709688,risk_decreasing
EXPR_PC22,expression,-0.057158770233174214,0.057158770233174214,risk_decreasing
EXPR_PC23,expression,-0.05624150858306904,0.05624150858306904,risk_decreasing
cat__SEX_Female,clinical,-0.05449439871052806,0.05449439871052806,risk_decreasing
cat__SEX_Male,clinical,0.05449439871052736,0.05449439871052736,risk_increasing
EXPR_PC29,expression,-0.05158077788814769,0.05158077788814769,risk_decreasing
EXPR_PC44,expression,-0.05105133164030826,0.05105133164030826,risk_decreasing
EXPR_PC12,expression,0.04674198702172983,0.04674198702172983,risk_increasing
EXPR_PC35,expression,-0.045602484694245236,0.045602484694245236,risk_decreasing
EXPR_PC31,expression,0.04430775447963422,0.04430775447963422,risk_increasing
EXPR_PC17,expression,0.043384385919666084,0.043384385919666084,risk_increasing
EXPR_PC15,expression,-0.0424546391681309,0.0424546391681309,risk_decreasing
EXPR_PC46,expression,-0.03765548550425093,0.03765548550425093,risk_decreasing
EXPR_PC24,expression,-0.03683693496404577,0.03683693496404577,risk_decreasing
EXPR_PC42,expression,0.03659650295679623,0.03659650295679623,risk_increasing
EXPR_PC43,expression,-0.0359813542621971,0.0359813542621971,risk_decreasing
EXPR_PC06,expression,-0.03460368088950458,0.03460368088950458,risk_decreasing
EXPR_PC09,expression,0.03414759249258616,0.03414759249258616,risk_increasing
