gene_name,global_gene_weight,abs_weight,effect_type
EXPR_CXCL5,0.1986891239086672,0.1986891239086672,risk_increasing
EXPR_CST1,0.19394320124236983,0.19394320124236983,risk_increasing
EXPR_KRT14,0.15432038702207382,0.15432038702207382,risk_increasing
EXPR_PAEP,0.15049981761857453,0.15049981761857453,risk_increasing
EXPR_KLK6,0.13461952084245302,0.13461952084245302,risk_increasing
EXPR_DLK1,0.1324366694229227,0.1324366694229227,risk_increasing
EXPR_ETNPPL,-0.11733363618651044,0.11733363618651044,protective
EXPR_CACNG4,0.11167687036294476,0.11167687036294476,risk_increasing
EXPR_CA9,0.1003739548171404,0.1003739548171404,risk_increasing
EXPR_AGR2,0.09483883530350218,0.09483883530350218,risk_increasing
EXPR_GPRC5A,0.09396020383898547,0.09396020383898547,risk_increasing
EXPR_MUC5B,0.08970365402359592,0.08970365402359592,risk_increasing
EXPR_ESRP1,0.0890264686428253,0.0890264686428253,risk_increasing
EXPR_PRSS3,0.08795216662570154,0.08795216662570154,risk_increasing
EXPR_PCSK2,0.08136324978082271,0.08136324978082271,risk_increasing
EXPR_COL11A1,0.08001779288068796,0.08001779288068796,risk_increasing
EXPR_MAGEC1,0.0798924367613689,0.0798924367613689,risk_increasing
EXPR_PGC,-0.0733341542922587,0.0733341542922587,protective
EXPR_HEPACAM,-0.07244390599430005,0.07244390599430005,protective
EXPR_CCL21,0.06951181582449857,0.06951181582449857,risk_increasing
EXPR_FXYD3,0.06634219414612941,0.06634219414612941,risk_increasing
EXPR_CD24,0.06590241720990388,0.06590241720990388,risk_increasing
EXPR_ABCB5,0.05613448026966336,0.05613448026966336,risk_increasing
EXPR_DDX3Y,-0.055040589017821676,0.055040589017821676,protective
EXPR_XAGE1D,-0.05446943092835355,0.05446943092835355,protective
EXPR_PLA2G2A,-0.052837620116547,0.052837620116547,protective
EXPR_FDCSP,-0.05221957120491739,0.05221957120491739,protective
EXPR_CHGA,0.04933862821213884,0.04933862821213884,risk_increasing
EXPR_BMP7,-0.048773513426866755,0.048773513426866755,protective
EXPR_ABCC2,0.048258664530530536,0.048258664530530536,risk_increasing
EXPR_EDM1,0.0477856572726431,0.0477856572726431,risk_increasing
EXPR_CELA3A,0.0424769629167774,0.0424769629167774,risk_increasing
EXPR_CLDN10,0.04233159694483962,0.04233159694483962,risk_increasing
EXPR_AP1M2,0.04185989405517402,0.04185989405517402,risk_increasing
EXPR_DFNB18,0.04147426078781235,0.04147426078781235,risk_increasing
EXPR_PPP1R1B,0.04144301221659549,0.04144301221659549,risk_increasing
EXPR_NEU4,-0.037420759711674,0.037420759711674,protective
EXPR_CXCL14,0.035372336744130026,0.035372336744130026,risk_increasing
EXPR_KRT23,0.03233923337354715,0.03233923337354715,risk_increasing
EXPR_AQP4,-0.03199686336461684,0.03199686336461684,protective
EXPR_ADAM6,0.03011160730301115,0.03011160730301115,risk_increasing
EXPR_SYT13,0.029806231095768056,0.029806231095768056,risk_increasing
EXPR_DKFZp547D155,0.02880350508156622,0.02880350508156622,risk_increasing
EXPR_DNER,-0.02457602299919895,0.02457602299919895,protective
EXPR_TCN1,0.019203963315739758,0.019203963315739758,risk_increasing
EXPR_TTYH1,0.01884630029184753,0.01884630029184753,risk_increasing
EXPR_KIF1A,0.0168602503544614,0.0168602503544614,risk_increasing
EXPR_FGFR2,0.016226417434147464,0.016226417434147464,risk_increasing
EXPR_HOMG2,0.015811776627686017,0.015811776627686017,risk_increasing
EXPR_GSTT1,0.01562210216284425,0.01562210216284425,risk_increasing
EXPR_MAGEA12,0.01231170578477455,0.01231170578477455,risk_increasing
EXPR_ADCY2,0.011702960441100946,0.011702960441100946,risk_increasing
EXPR_BEX1,-0.006141340536458469,0.006141340536458469,protective
EXPR_A1CF,-0.004762677908564934,0.004762677908564934,protective
EXPR_SFRP1,-0.004703071010390123,0.004703071010390123,protective
EXPR_GSTM1,0.00413457172787801,0.00413457172787801,risk_increasing
EXPR_SERPINA3,0.003396726688688776,0.003396726688688776,risk_increasing
EXPR_FABP7,-0.0029603853584646528,0.0029603853584646528,protective
EXPR_CTNND2,0.002580619723773105,0.002580619723773105,risk_increasing
